CGX;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
502001;Head of State;李济深 ;36;LWR;Weary Stiffneck;High;M502001;x
502002;Head of Government;李宗仁 ;36;LWR;Flamboyant Tough Guy;High;L50186;x
502003;Foreign Minister;汪精卫 ;36;LWR;Biased Intellectual;High;M502003;x
502004;Minister of Armament;余汉谋 ;36;LWR;Infantry Proponent;Medium;M502004;x
502005;Minister of Security;雷忠 ;36;LWR;Man of the People;Medium;M502005;x
502006;Head of Military Intelligence;李济深 ;36;LWR;Dismal Enigma;Medium;M502001;x
502007;Chief of Staff;白崇禧 ;36;LWR;School of Manoeuvre;Medium;M502007;x
502008;Chief of Army;陈济棠 ;36;LWR;Guns and Butter Doctrine;Medium;M502008;x
502009;Chief of Navy;白崇禧 ;36;LWR;Indirect Approach Doctrine;Medium;M502007;x
502010;Chief of Air Force;王叔铭 ;36;LWR;Air Superiority Doctrine;Medium;M502010;x
