JOR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
556001;Head of State;H.M. 阿卜杜拉 ;36;SC;Autocratic Charmer;High;M556001;x
556002;Head of Government;陶菲克 阿不尔-胡达 ;36;SC;Naive Optimist;High;M556002;x
556003;Foreign Minister;萨米尔 阿尔-拉法 ;36;SC;Apologetic Clerk;High;M556003;x
556004;Minister of Armament;奥马尔 帕莎 马特尔 ;36;SC;laissez-faire capitalist;Medium;M556004;x
556005;Minister of Security;亨利 考克思爵士 ;36;SC;Man of the People;Medium;M556005;x
556006;Head of Military Intelligence;珀西 考克思爵士 ;36;SC;Logistics Specialist;Medium;M556006;x
556007;Chief of Staff;珀西 考克思爵士 ;36;SC;School of Manoeuvre;Medium;M556006;x
556008;Chief of Army;H.M. 阿卜杜拉 ;36;SC;Decisive Battle Doctrine;Medium;M556008;x
556009;Chief of Navy;C.G.T. 劳埃德-埃尔福特 ;36;SC;Decisive Naval Battle Doctrine;Medium;L1367;x
556010;Chief of Air Force;亚历克 西斯 克尔克布莱德 ;36;SC;Army Aviation Doctrine;Medium;L1454;x
556011;Head of State;H.M. 塔拉尔 ;51;ML;Benevolent Gentleman;High;M556011;x
556012;Head of State;H.H. 纳依夫 阿尔-哈希米 ;36;PA;Resigned Generalissimo;High;M556012;x
556013;Head of Government;以实马利 拜依 加斯匹拉利 ;36;SD;Silent Workhorse;High;M556013;x
556014;Head of Government;谢里夫 侯塞因 希贾兹 ;36;PA;Smiling Oilman;High;M556014;x
556015;Foreign Minister;塞义德 阿尔-穆夫蒂 ;36;SD;Great Compromiser;High;M556015;x
556016;Foreign Minister;易卜拉欣 帕莎 哈希姆 ;36;PA;Biased Intellectual;High;M556016;x
556017;Minister of Armament;埃哈迈德 卡德里 ;36;SD;Military Entrepreneur;Medium;M556017;x
556018;Minister of Armament;苏莱曼 阿尔-纳卜拉西 ;36;PA;Infantry Proponent;Medium;M556018;x
556019;Minister of Security;亚历克 西斯 克尔克布莱德 ;39;SC;Efficient Sociopath;Medium;L1454;x
556020;Minister of Security;奥尼 阿卜杜 哈迪 ;45;SC;Silent Lawyer;Medium;M556020;x
556021;Minister of Security;雅各 多瓦尔-平尼 ;36;SD;Back Stabber;Medium;M556021;x
556022;Minister of Security;穆罕默德 阿尔-速累基 ;42;SD;Compassionate Gentleman;Medium;M556022;x
556023;Minister of Security;沙克尔 本 扎伊德 ;36;PA;Crime Fighter;Medium;M556023;x
556024;Head of Military Intelligence;约翰 巴各特 格勒伯 ;41;SC;Dismal Enigma;Medium;M556024;x
556025;Head of Military Intelligence;拉斯塔姆 海达尔 ;36;SD;Political Specialist;Medium;M556025;x
556026;Head of Military Intelligence;莎蒂 阿尔-哈基姆 ;36;PA;Industrial Specialist;Medium;M556026;x
556027;Chief of Staff;约翰 E. 奥斯布雷 ;41;SC;School of Psychology;Medium;M556027;x
556028;Chief of Staff;哈达德 阿尔-瓦里 ;36;SD;School of Mass Combat;Medium;M556028;x
556029;Chief of Staff;约书亚 阿卜戴尔 ;36;PA;School of Defence;Medium;M556029;x
556030;Chief of Army;J约翰 巴各特 格勒伯 ;44;SC;Elastic Defence Doctrine;Medium;M556024;x
556031;Chief of Army;内尔 阿尔-贾法尔 ;36;SD;Guns and Butter Doctrine;Medium;M556031;x
556032;Chief of Army;阿卜杜拉 麦吉特 帕莎 ;36;PA;Static Defence Doctrine;Medium;M556032;x
556033;Chief of Navy;迦底 阿布德-埃尔 贾巴尔 ;36;SD;Power Projection Doctrine;Medium;M556033;x
556034;Chief of Navy;海拜哈 阿布德-埃尔 阿迪尔 ;36;PA;Indirect Approach Doctrine;Medium;M556034;x
556035;Chief of Air Force;塞米 阿尔-法耶兹 ;36;SD;Vertical Envelopment Doctrine;Medium;M556035;x
556036;Chief of Air Force;埃实马利 阿尔-卡列 ;36;PA;Carpet Bombing Doctrine;Medium;M556036;x
556037;Head of State;H.M. 侯塞因 ;52;SC;Die-hard Reformer;High;M556037;x
556038;Head of Government;易卜拉欣 哈希姆 ;36;SC;Happy Amateur;High;M556038;x
556039;Head of Government;萨米尔 阿尔-拉法 ;44;SC;Silent Workhorse;High;M556003;x
556040;Head of Government;塞义德 阿尔-穆夫蒂 ;50;SC;Political Protege;High;M556015;x
556041;Head of Government;法乌兹 阿里-木耳启 ;53;SC;Smiling Oilman;High;M556041;x
